Artigo,Funexpression
BCIN_15g04750,BCIN_05g04300
BCIN_06g02720,BCIN_05g04480
BCIN_16g02100,BCIN_05g04520
BCIN_02g02170,BCIN_05g04530
BCIN_15g04970,BCIN_05g04540
BCIN_08g04730,BCIN_05g04550
BCIN_10g00560,BCIN_05g04680
BCIN_08g01490,BCIN_05g04750
BCIN_05g05860,BCIN_05g04770
BCIN_05g01040,BCIN_05g04830
BCIN_07g04100,BCIN_05g04850
BCIN_05g01120,BCIN_05g04880
BCIN_09g01410,BCIN_05g05000
BCIN_01g09980,BCIN_05g05050
BCIN_15g03880,BCIN_05g05100
BCIN_06g00550,BCIN_05g05110
BCIN_15g02110,BCIN_05g05150
BCIN_06g02540,BCIN_05g05320
BCIN_05g07430,BCIN_05g05350
BCIN_06g02140,BCIN_05g05470
BCIN_14g03740,BCIN_05g05520
BCIN_04g03620,BCIN_05g05600
BCIN_04g02320,BCIN_05g05650
BCIN_08g02080,BCIN_05g05700
BCIN_03g02030,BCIN_05g05840
BCIN_01g00750,BCIN_05g05870
BCIN_16g02790,BCIN_05g05910
BCIN_02g06240,BCIN_05g05920
BCIN_12g02140,BCIN_05g05930
BCIN_06g01560,BCIN_05g05960
BCIN_14g00230,BCIN_05g05980
BCIN_13g04640,BCIN_05g05990
BCIN_10g02590,BCIN_05g06010
BCIN_07g01840,BCIN_05g06020
BCIN_05g08360,BCIN_05g06150
BCIN_15g01630,BCIN_05g06160
BCIN_08g01050,BCIN_05g06270
