Gene_ID	Gene_Name	logFC	logCPM	LR	PValue	FDR
BCIN_07g05560	Uncharacterized	-2.55421729432076	9.58471177899538	59.5384207621969	1.19929717038315e-14	1.10873799629299e-13
BCIN_05g01470	Uncharacterized	1.02127154353724	5.24245201620435	59.5147615713269	1.21380231394854e-14	1.12094383220548e-13
BCIN_15g00080	Uncharacterized	-1.0922922129668	4.71204750789094	59.5118381994318	1.21560673667095e-14	1.12140698633728e-13
BCIN_10g05760	Uncharacterized	1.69097951459423	2.1475433400376	59.3943766010258	1.29037288758681e-14	1.18910486546678e-13
BCIN_11g06450	Bccat2	-1.73120222983913	3.43832718857527	59.358233745765	1.31429123706281e-14	1.20985076763632e-13
BCIN_06g05400	Uncharacterized	-0.930987816180483	5.45924749931045	59.2895806108686	1.36095232478325e-14	1.25146545506511e-13
BCIN_05g04370	Uncharacterized	2.64889364044281	2.64015038570739	59.2844457120655	1.36450823641968e-14	1.25339619966534e-13
BCIN_13g03790	Uncharacterized	-0.855003679330858	5.55588294056835	59.2594989543453	1.38191656760855e-14	1.26803367776192e-13
BCIN_07g05310	Uncharacterized	2.48666354708881	4.41402131553834	59.2053805213391	1.42044916747693e-14	1.30200276724962e-13
BCIN_08g03960	Uncharacterized	1.50207745736742	8.51048615598782	59.0654439059777	1.52514217325136e-14	1.3964785835292e-13
BCIN_10g04970	Uncharacterized	-2.05565196095705	7.04593953215523	59.0314752519971	1.55169919926441e-14	1.41928533560773e-13
BCIN_02g07720	Bcyhk8	-1.65182989703065	5.70095762627229	58.8791914420981	1.67655905509288e-14	1.53186239779027e-13
BCIN_03g01040	Uncharacterized	1.90914406719298	8.56350996178291	58.8347565425823	1.71485167081644e-14	1.56518858226056e-13
BCIN_04g01410	Uncharacterized	-2.20534614195552	7.93083806643078	58.8269275194158	1.7216885887807e-14	1.56976416140206e-13
BCIN_08g01520	Bcmzm1	-1.11733829307105	4.69094276358171	58.8160481071133	1.73123465111149e-14	1.57679752826631e-13
BCIN_03g08110	Bcscd1	2.30498476962503	10.0795383897938	58.8034410033177	1.74236292281357e-14	1.58525556835692e-13
BCIN_12g06020	Uncharacterized	-2.48379652783551	11.5674178583355	58.7215143740366	1.81644388684285e-14	1.65091156642623e-13
